Tên công việc,Công ty,Lương,Địa điểm,Ngày tháng,Cấp bậc,Ngành nghề,Kỹ năng,Link
Senior Research Executive,"Asia Plus Vietnam Co., Ltd. (Q&Me)",$700 - $1100,Hồ Chí Minh,18/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Quantitative Analyst, Qualitative Market Research, Market Research, Nghiên Cứu Thị Trường, Research",https://www.vietnamworks.com/senior-research-executive--1726347-jv?source=searchResults&searchType=2&placement=1726347&sortBy=date
Research AnalystUrgent job,Tractus Asia (Vietnam),Thương lượng,Hồ Chí Minh,30/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Market Research, Financial Analysis, Trade Mission, Research Documents, Quantitative Analyst",https://www.vietnamworks.com/research-analyst--1720341-jv?source=searchResults&searchType=2&placement=1720341&sortBy=date
Market Research AnalystUrgent job,Công Ty TNHH ZIGExN VeNtura,Thương lượng,Hồ Chí Minh,27/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Market Analysis, Synthesis, Market Research, Data Analysis, English",https://www.vietnamworks.com/market-research-analyst--1718536-jv?source=searchResults&searchType=2&placement=1718536&sortBy=date
Chuyên Gia Marketing,Ngân Hàng TMCP Đại Chúng Việt Nam,$1000 - $2000,Hà Nội,8/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Marketing Development, Tiếp Thị, Truyền Thông",https://www.vietnamworks.com/chuyen-gia-marketing--1723105-jv?source=searchResults&searchType=2&placement=1723105&sortBy=date
Quản Lý Nhãn OTC (BM OTC),Công Ty Cổ Phần Dược Phẩm Vĩnh Phúc,Thương lượng,Hà Nội,6/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông",Quản Lý Sản Phẩm,https://www.vietnamworks.com/quan-ly-nhan-otc-bm-otc-1722176-jv?source=searchResults&searchType=2&placement=1722176&sortBy=date
Nhân Viên Nghiên Cứu Thị Trường (Ưu Tiên Nam Có Thể Thường Xuyên Đi Công Tác),Công Ty Cổ Phần Công Nghệ Thực Phẩm Châu Á (Micoem),Thương lượng,Hà Nội,4/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Nghiên Cứu Thị Trường, FMCG, Phát Triển Sản Phẩm, Marketing Research, Phân Tích Thị Trường",https://www.vietnamworks.com/nhan-vien-nghien-cuu-thi-truong-uu-tien-nam-co-the-thuong-xuyen-di-cong-tac-1711276-jv?source=searchResults&searchType=2&placement=1711276&sortBy=date
"Growth Marketing Leader (Salary Upto $1,300)Urgent job",Công Ty Cổ Phần Công Nghệ Secomus,$800 - $1300,Hà Nội,15/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Market Research, Team Management, Leadership, Customer Segmentation, Growth Marketing",https://www.vietnamworks.com/growth-marketing-leader-salary-upto-1-300--1725528-jv?source=searchResults&searchType=2&placement=1725528&sortBy=date
Research Data Analyst,Analytix Intelligence Company Ltd.,Thương lượng,Hồ Chí Minh,14/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Data Analysis, SPSS, Quantitative Analysis, Project Management, Qualitative Research",https://www.vietnamworks.com/research-data-analyst-1-1724878-jv?source=searchResults&searchType=2&placement=1724878&sortBy=date
[Lotte Mall Westlake Hanoi] Marketing Planning Assistant,"LOTTE Properties Hanoi Co., Ltd",Thương lượng,Hà Nội,1/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Retail Marketing, Business Administration, Promotional Marketing, Marketing Planning, English",https://www.vietnamworks.com/lotte-mall-westlake-hanoi-marketing-planning-assistant-1709687-jv?source=searchResults&searchType=2&placement=1709687&sortBy=date
Quản Lý Phát Triển Sản Phẩm Tiền Gửi,Ngân Hàng TNHH MTV Woori Việt Nam,$1500 - $2000,Hà Nội,11/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Bank Product, Product Development, Market Research, Corporate Banking, Cash Management",https://www.vietnamworks.com/quan-ly-phat-trien-san-pham-tien-gui--1712456-jv?source=searchResults&searchType=2&placement=1712456&sortBy=date
[Lotte Mall West Lake Hanoi] Social Media Marketing Assistant,"LOTTE Properties Hanoi Co., Ltd",Thương lượng,Hà Nội,28/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Digital Marketing, Retail, Social Media Marketing, Social Media Campaign, Performance Marketing",https://www.vietnamworks.com/lotte-mall-west-lake-hanoi-social-media-marketing-assistant-1719129-jv?source=searchResults&searchType=2&placement=1719129&sortBy=date
"Chuyên Viên Đầu Tư và Phát Triển – Phụ Trách Nghiên Cứu Thị Trường, Sản Phẩm",Công Ty Cổ Phần Tập Đoàn Vinacontrol,Thương lượng,Hà Nội,18/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Thị Trường, Nghiên Cứu Thị Trường, Xúc Tiến Thương Mại, Báo Cáo Tổng Kết, Đề Xuất Ý Tưởng",https://www.vietnamworks.com/chuyen-vien-dau-tu-va-phat-trien-phu-trach-nghien-cuu-thi-truong-san-pham-1726210-jv?source=searchResults&searchType=2&placement=1726210&sortBy=date
Trưởng Nhóm Phát Triển Thị Trường Mảng TMĐT (Tiếng Trung),Công Ty Cổ Phần Tập Đoàn Kita Group,$750 - $1100,Hồ Chí Minh,18/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Tiếng Trung, Truyền Thông, Báo Chí, Thương Mại Điện Tử, Hàng Tiêu Dùng",https://www.vietnamworks.com/truong-nhom-phat-trien-thi-truong-mang-tmdt-tieng-trung-1726036-jv?source=searchResults&searchType=2&placement=1726036&sortBy=date
Social Commerce Specialist,Công Ty Cổ Phần Tara,Thương lượng,Hồ Chí Minh,6/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Viral Marketing, Quản Lý Quan Hệ Đối Tác, Quản Lý Kols, Public Relation, KOL",https://www.vietnamworks.com/social-commerce-specialist-1722501-jv?source=searchResults&searchType=2&placement=1722501&sortBy=date
Retail Project Executive,Estee Lauder Vietnam,Thương lượng,Hồ Chí Minh,6/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Project Management, Negotiation Skills, Time Management, Problem Solving Skill, Decision Making",https://www.vietnamworks.com/retail-project-executive-1722152-jv?source=searchResults&searchType=2&placement=1722152&sortBy=date
Market Research Executive (Nutrition Division),Abbott,Thương lượng,Hồ Chí Minh,5/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Marketing Intelligence Analysis, Research, Business Intelligence Analysis, Research Projects",https://www.vietnamworks.com/market-research-executive-nutrition-division-1708172-jv?source=searchResults&searchType=2&placement=1708172&sortBy=date
International Marketing Manager,"Wanek Furniture CO., LTD.",$2000 - $3000,Bình Dương,25/11/2023,Giám Đốc và Cấp Cao Hơn,"Tiếp Thị, Quảng Cáo/Truyền Thông","Safety, Safety Training, EHS, EHS Management, Safety Technology",https://www.vietnamworks.com/international-marketing-manager-1718452-jv?source=searchResults&searchType=2&placement=1718452&sortBy=date
Strategic Planner Intern,Happiness Saigon,Thương lượng,Hồ Chí Minh,15/12/2023,Thực tập sinh/Sinh viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","English Communications, Planning Marketing Strategy, Stragegic Planning, Creative Marketing",https://www.vietnamworks.com/strategic-planner-intern-1--1712659-jv?source=searchResults&searchType=2&placement=1712659&sortBy=date
"[Kt&g] Tobacco Market Research Freelancer - 1 Report/month (VN Nationality Only - Living In HN, DN, HCM)",Kt&G,$200 - $200,Hà Nội,15/12/2023,Mới Tốt Nghiệp,"Tiếp Thị, Quảng Cáo/Truyền Thông","English, Research, Field Collections",https://www.vietnamworks.com/kt-g-tobacco-market-research-freelancer-1-report-month-vn-nationality-only-living-in-hn-dn-hcm-1725458-jv?source=searchResults&searchType=2&placement=1725458&sortBy=date
Chuyên Viên Marketing,Công Ty TNHH Cộng Cà Phê,$600 - $820,Hà Nội,29/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Marketing Planning, F&amp;B, Quản Trị Kinh Doanh, SEO, Truyền Thông",https://www.vietnamworks.com/chuyen-vien-marketing--1707793-jv?source=searchResults&searchType=2&placement=1707793&sortBy=date
Performance Marketing Executive,Báo Điện Tử VnExpress.Net,$700 - $1200,Hồ Chí Minh,13/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Digital Marketing, Analytic Skill, Analyze Data, Performance Marketing, Strategic Planning",https://www.vietnamworks.com/performance-marketing-executive--1724572-jv?source=searchResults&searchType=2&placement=1724572&sortBy=date
Inbound Marketing Specialist (Remote),Havi Technology,Thương lượng,Quốc tế,12/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","SEO, Marketing Analytics, Inbound Marketing, B2B Marketing, Communication",https://www.vietnamworks.com/inbound-marketing-specialist-remote-1711949-jv?source=searchResults&searchType=2&placement=1711949&sortBy=date
Trưởng Phòng Nghiên Cứu và Phát Triển,Tasco Joint Stock Company,Thương lượng,Hà Nội,1/12/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Ngân Hàng Đầu Tư, Nghiên Cứu, Phân Tích Thị Trường",https://www.vietnamworks.com/truong-phong-nghien-cuu-va-phat-trien--1709340-jv?source=searchResults&searchType=2&placement=1709340&sortBy=date
[Hot Job] Copywriter,Công Ty TNHH Thương Mại Và Truyền Thông Breathtaking Việt Nam,$500 - $700,Hà Nội,1/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Ý Tưởng Sáng Tạo, Sáng Tạo Nội Dung, Copywriting, Content, Advertsing Agency",https://www.vietnamworks.com/hot-job-copywriter-1709659-jv?source=searchResults&searchType=2&placement=1709659&sortBy=date
Partnership Manager (Đối Tác Giải Pháp Công Nghệ),Công Ty Cổ Phần Công Nghệ Sapo,$1000 - $1500,Hà Nội,20/11/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Partnership Development, Merchant Development, Marketing Planning",https://www.vietnamworks.com/partnership-manager-doi-tac-giai-phap-cong-nghe-1716492-jv?source=searchResults&searchType=2&placement=1716492&sortBy=date
Chuyên Viên Trade Marketing,"Cellphones - Hệ Thống Bán Lẻ Điện Thoại Di Động, Laptop Và Các Sản Phẩm Công Nghệ Toàn Quốc",$415 - $625,Hồ Chí Minh,20/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Trade Marketing, FMCG, Retail",https://www.vietnamworks.com/chuyen-vien-trade-marketing--1716310-jv?source=searchResults&searchType=2&placement=1716310&sortBy=date
Associate Research Manager - QuantitativeHeadhunt jobs,Navigos Search'S Client,$1200 - $1700,Hồ Chí Minh,4/12/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Research, Quantitative Data, Project Reporting",https://www.vietnamworks.com/associate-research-manager-quantitative--1721763-jv?source=searchResults&searchType=2&placement=1721763&sortBy=date
[Retail] Copywriter Content Lead - Up to $1500Headhunt jobs,Navigos Search,$1000 - $1500,Hà Nội,30/11/2023,Trưởng phòng,"Tiếp Thị, Quảng Cáo/Truyền Thông","Creative Design, Content Creating",https://www.vietnamworks.com/retail-copywriter-content-lead-up-to-1500-1721025-jv?source=searchResults&searchType=2&placement=1721025&sortBy=date
Senior Research Executive - Up to 30MHeadhunt jobs,Navigos Search'S Client,Thương lượng,Hồ Chí Minh,30/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Quantitative Analysis, Market Research, English",https://www.vietnamworks.com/senior-research-executive-up-to-30m-1720768-jv?source=searchResults&searchType=2&placement=1720768&sortBy=date
Senior Market Analayst (Based In Hai Phong)Headhunt jobs,Navigos Search,$1000 - $1400,Hải Phòng,25/11/2023,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông","Market Research, Market Analysis, Market Insights, Real Estate Business, Data Analysis",https://www.vietnamworks.com/senior-market-analayst-based-in-hai-phong-1718463-jv?source=searchResults&searchType=2&placement=1718463&sortBy=date
